Reference,Locations,Value,Footprint,Notes,Manufacturer,PN,Distributor,Dist PN,Dist Link
C1,1,3.3uF,Capacitors_SMD:C_0603,25V,TDK Corporation,C1608X5R1E335K080AC,Digikey,445-14141-1-ND,https://www.digikey.com/product-detail/en/tdk-corporation/C1608X5R1E335K080AC/445-14141-1-ND/3955807
C2,1,4.7uF,Capacitors_SMD:C_1206,25V,TDK Corporation,C3216X5R1E475K160AA,Digikey,445-4047-2-ND,http://www.digikey.com/product-detail/en/tdk-corporation/C3216X5R1E475K160AA/445-4047-2-ND/1965635
C3,1,10uF,Capacitors_SMD:C_1812,25V,TDK Corporation,C4532X5R1E106M250KA,Digikey,445-3926-2-ND,http://www.digikey.com/product-detail/en/tdk-corporation/C4532X5R1E106M250KA/445-3926-2-ND/1923415
"C4, C6",2,1uF,Capacitors_SMD:C_0603,25V,TDK Corporation,CGB3B1X5R1E105K055AC,Digikey,445-13224-2-ND,http://www.digikey.com/product-detail/en/tdk-corporation/CGB3B1X5R1E105K055AC/445-13224-2-ND/3950460
"C5, C7",2,0.1uF,Capacitors_SMD:C_0603,,TDK Corporation,C1608X8R1E104K080AA,Digikey,445-2500-2-ND,http://www.digikey.com/product-detail/en/tdk-corporation/C1608X8R1E104K080AA/445-2500-2-ND/927126
C8,1,10uF,Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Reflow,10V,AVX Corporation,TPSA106K010R1800,Digikey,478-3317-1-ND,https://www.digikey.com/product-detail/en/avx-corporation/TPSA106K010R1800/478-3317-1-ND/930109
D1,1,D_Schottky_AAK,footprints:D_PowerDI-5,,Diode Incorporated,PDS560-13,Digikey,PDS560DICT-ND,http://www.digikey.com/product-detail/en/diodes-incorporated/PDS560-13/PDS560DICT-ND/776779
D2,1,LED,footprints:LED_0603,,Panasonic Electric Components,LNJ937W8CRA,Digikey,LNJ937W8CRATR-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/LNJ937W8CRA/LNJ937W8CRACT-ND/2349027
"J1, J3",2,CONN_01X04,Connectors_JST:JST_PH_S4B-PH-SM4-TB_04x2.00mm_Angled,,JST Sales America,S4B-PH-SM4-TB(LF)(SN),Digikey,455-1751-1-ND,https://www.digikey.com/product-detail/en/jst-sales-america-inc/S4B-PH-SM4-TB(LF)(SN)/455-1751-1-ND/926848
J2,1,CONN_01X03,Connectors_JST:JST_PH_S3B-PH-SM4-TB_03x2.00mm_Angled,,JST Sales America,S3B-PH-SM4-TB(LF)(SN),Digikey,455-1750-2-ND,https://www.digikey.com/product-detail/en/jst-sales-america-inc/S3B-PH-SM4-TB(LF)(SN)/455-1750-2-ND/926656
"J4, J5",2,CONN_01X02,Connectors_JST:JST_PH_S2B-PH-SM4-TB_02x2.00mm_Angled,,JST Sales America,S2B-PH-SM4-TB(LF)(SN),Digikey,455-1749-2-ND,http://www.digikey.com/product-detail/en/jst-sales-america-inc/S2B-PH-SM4-TB(LF)(SN)/455-1749-2-ND/926655
L1,1,6.8uH,footprints:Sumida_L_CDRH105R,,Sumida America Components,CDRH105RNP-6R8NC,Digikey,308-1927-2-ND,https://www.digikey.com/product-detail/en/sumida-america-components-inc/CDRH105RNP-6R8NC/308-1927-2-ND/3947171
"Q1, Q2",2,Si2318DS-T1,TO_SOT_Packages_SMD:SOT-23,,Vishay Siliconix,SI2318DS-T1-E3,Digikey,SI2318DS-T1-E3TR-ND,http://www.digikey.com/product-detail/en/vishay-siliconix/SI2318DS-T1-E3/SI2318DS-T1-E3DKR-ND/1764691
R1,1,100k,Resistors_SMD:R_0402,1%,Yageo,RC0402FR-07100KL,Digikey,311-100KLRTR-ND,http://www.digikey.com/product-detail/en/yageo/RC0402FR-07100KL/311-100KLRTR-ND/726526
R2,1,24k,Resistors_SMD:R_0402,1%,Yageo,RC0402FR-0724KL,Digikey,311-24KLRTR-ND,http://www.digikey.com/product-detail/en/yageo/RC0402FR-0724KL/311-24KLRTR-ND/2827581
R3,1,69.8k,Resistors_SMD:R_0402,1%,Yageo,RC0402FR-0769K8L,Digikey,YAG3216TR-ND,http://www.digikey.com/product-detail/en/yageo/RC0402FR-0769K8L/YAG3216TR-ND/5281076
"R4, R5, R7, R8",4,10k,Resistors_SMD:R_0603,1%,Yageo,RC0603FR-0710KL,Digikey,311-10.0KHRTR-ND,https://www.digikey.com/product-detail/en/yageo/RC0603FR-0710KL/311-10.0KHRTR-ND/726880
R6,1,1k,Resistors_SMD:R_0603,1%,Yageo,RC0603FR-071KL,Digikey,311-1.00KHRTR-ND,https://www.digikey.com/product-detail/en/yageo/RC0603FR-071KL/311-1.00KHRTR-ND/726843
SW1,1,SW_SPST,footprints:C&K_SPST_switch_L101011MS02Q,,C&K,L101011MS02Q,Digikey,CKC5106-ND,http://www.digikey.com/product-detail/en/c-k/L101011MS02Q/CKC5106-ND/484142
U1,1,LT3478-1,footprints:TSSOP-16-1EP_4.4x5mm_Pitch0.65mm,,Linear Technologies,LT3478EFE-1#PBF,Digikey,LT3478EFE-1#PBF-ND,http://www.digikey.com/product-detail/en/linear-technology/LT3478EFE-1-PBF/LT3478EFE-1-PBF-ND/1619965
U3,1,AD5247,footprints:SC-70-6,,Analog Devices,AD5247BKSZ10-RL7,Digikey,AD5247BKSZ10-RL7CT-ND,https://www.digikey.com/product-detail/en/analog-devices-inc/AD5247BKSZ10-RL7/AD5247BKSZ10-RL7CT-ND/1140637